1,EURO LINERS
2,HARRIS SUPER COACHES/HARRIS EXECUTIVE TRAVEL
3,TERRYS COACH HIRE
4,HARRY SHAW
5,WARDLE TRANSPORT
6,ARRIVA MIDLANDS
7,STAGECOACH MIDLANDS
8,FIRST MIDLAND RED
9,OLDFIELDS CAR HIRE
10,FLETCHER'S COACHES
11,CLARKES OF SHIPSTON
12,WORTHEN MOTORS
13,CATTERALLS
14,WORLEY COACHES
15,SARGEANTS
16,HI-RIDE COACHES
17,NEWBURY COACHES
18,ARROW TRAVEL
19,R&B TRAVEL
20,CHALLINOR TRAVEL
21,National Express Coventry
22,Travel Coventry
23,TRAVEL WEST MIDLANDS
24,National Express West Midlands
25,CHAPEL END COACHES
26,PAULS COACHES
27,TAXICO
28,OMEGA COACH TRAVEL
29,J & G A WORTH
30,CANNOCK CABS & CO
31,CITYSPEED
32,KEN MILLER BUSES
33,ABBES TRAVEL
34,ABBEY CARS
35,COACHLEASING
36,BAYLEYS OF MALVERN
37,INTEGRATED TRANSPORT SERVICES UNIT
38,SILVERLINE
39,STAGECOACH
40,A & M GROUP
41,LEWIS COACHES
42,CONISTON COACHES
43,KIMLAN COACHES
44,SOLUS COACHES
45,HOLLAND COACHES
46,GROSVENOR COACHES
47,M & J TRAVEL
48,MIDLAND CLASSIC
49,H & H MOTORS
50,STANWAYS COACHES
51,DRM
52,BANGA BUSES
53,CLEARWAY OF CATSHILL
54,SUNNY TRAVEL
55,G R S TRAVEL
56,LMS TRAVEL
57,BOWYER COACHES
58,CORPORATE EXPRESS
59,THE GREEN BUS
60,SCRAGG'S
61,COACHLINKS
62,SELECT BUS SERVICES
63,ROWE COACHES
64,RIDLEYS COACHES
65,N.N.CRESSWELL
66,A B C SUPREME
67,STANTONS OF STOKE
68,REGIONAL TRANSPORT
69,WINTS COACHES
70,Let's Go
71,STEWART ENTERPRISES
72,THE TRAVELLERS CHOICE
73,IRVING OF DALSTON
74,BLACKPOOL TRANSPORT
75,HIGH PEAK BUSES
76,BULLOCKS COACHES
77,TRENT BUSES
78,COSGROVES SUPER TRAVEL
79,HALTON TRANSPORT
80,HAMPTON COACHES
81,HEATONS COACHES
82,JACKSONS COACHES
